iter	Passed	Remaining
0	234	468745
1	312	312096
2	400	266436
3	494	246752
4	585	233800
5	670	222738
6	764	217781
7	855	213065
8	940	208014
9	1048	208733
10	1138	205804
11	1228	203584
12	1322	202150
13	1405	199449
14	1491	197327
15	1582	196172
16	1664	194167
17	1757	193498
18	1846	192569
19	1932	191313
20	2013	189762
21	2100	188884
22	2195	188675
23	2278	187581
24	2368	187107
25	2457	186613
26	2537	185400
27	2628	185098
28	2712	184326
29	2792	183392
30	2887	183374
31	2968	182591
32	3047	181660
33	3138	181477
34	3223	180981
35	3302	180151
36	3390	179888
37	3478	179594
38	3563	179186
39	3657	179224
40	3744	178905
41	3829	178505
42	3916	178228
43	3999	177812
44	4081	177298
45	4168	177056
46	4286	178126
47	4378	178044
48	4462	177699
49	4540	177086
50	4625	176757
51	4708	176375
52	4789	175953
53	4883	175974
54	4963	175544
55	5038	174917
56	5128	174827
57	5214	174603
58	5295	174218
59	5383	174072
60	5472	173958
61	5563	173916
62	5654	173841
63	5739	173614
64	5819	173237
65	5920	173488
66	6004	173224
67	6086	172934
68	6164	172515
69	6244	172169
70	6320	171721
71	6410	171650
72	6491	171346
73	6568	170961
74	6655	170829
75	6746	170794
76	6832	170638
77	6918	170477
78	6995	170100
79	7075	169800
80	7166	169794
81	7246	169503
82	7319	169059
83	7412	169080
84	7498	168938
85	7577	168643
86	7668	168607
87	7748	168343
88	7832	168188
89	7916	168009
90	7999	167803
91	8079	167558
92	8179	167730
93	8275	167792
94	8368	167816
95	8467	167943
96	8576	168264
97	8668	168245
98	8758	168185
99	8848	168128
100	8929	167900
101	9021	167869
102	9100	167603
103	9181	167380
104	9279	167471
105	9397	167921
106	9477	167666
107	9576	167759
108	9656	167534
109	9737	167312
110	9825	167218
111	9898	166857
112	9985	166749
113	10064	166507
114	10149	166359
115	10229	166142
116	10313	165988
117	10383	165612
118	10465	165423
119	10556	165384
120	10643	165287
121	10725	165104
122	10805	164895
123	10881	164630
124	10968	164531
125	11051	164374
126	11127	164108
127	11207	163909
128	11292	163787
129	11370	163564
130	11453	163407
131	11539	163297
132	11623	163170
133	11707	163025
134	11798	162998
135	11879	162817
136	11956	162585
137	12034	162384
138	12111	162158
139	12201	162104
140	12280	161905
141	12365	161793
142	12450	161681
143	12545	161695
144	12627	161543
145	12713	161449
146	12799	161344
147	12881	161196
148	12966	161076
149	13048	160936
150	13131	160799
151	13217	160699
152	13308	160656
153	13384	160443
154	13467	160300
155	13569	160397
156	13660	160356
157	13737	160151
158	13833	160176
159	13922	160105
160	14011	160040
161	14100	159979
162	14189	159909
163	14295	160036
164	14380	159929
165	14462	159788
166	14549	159696
167	14639	159643
168	14734	159637
169	14819	159527
170	14918	159567
171	14990	159322
172	15078	159237
173	15164	159145
174	15248	159023
175	15342	159005
176	15426	158889
177	15514	158809
178	15601	158719
179	15694	158686
180	15776	158544
181	15862	158446
182	15956	158434
183	16038	158291
184	16115	158103
185	16198	157979
186	16274	157788
187	16354	157628
188	16447	157598
189	16532	157497
190	16617	157389
191	16704	157303
192	16787	157178
193	16875	157099
194	16968	157071
195	17050	156931
196	17131	156789
197	17218	156702
198	17303	156600
199	17389	156505
200	17477	156427
201	17559	156296
202	17641	156168
203	17731	156106
204	17817	156007
205	17897	155867
206	17984	155782
207	18065	155639
208	18145	155498
209	18232	155414
210	18313	155272
211	18403	155216
212	18499	155205
213	18597	155208
214	18678	155078
215	18794	155225
216	18890	155219
217	18980	155154
218	19082	155188
219	19170	155104
220	19247	154938
221	19329	154813
222	19418	154740
223	19506	154657
224	19594	154579
225	19683	154506
226	19774	154451
227	19864	154382
228	19943	154233
229	20019	154061
230	20106	153977
231	20199	153934
232	20285	153836
233	20379	153801
234	20468	153727
235	20564	153710
236	20664	153719
237	20753	153646
238	20832	153500
239	20922	153431
240	21020	153423
241	21099	153273
242	21191	153220
243	21277	153130
244	21365	153044
245	21461	153021
246	21546	152921
247	21637	152855
248	21725	152776
249	21801	152610
250	21889	152526
251	21974	152424
252	22051	152271
253	22138	152181
254	22228	152113
255	22313	152011
256	22399	151918
257	22484	151812
258	22566	151692
259	22655	151616
260	22739	151509
261	22828	151434
262	22922	151392
263	23008	151298
264	23093	151197
265	23177	151092
266	23265	151006
267	23349	150901
268	23433	150791
269	23518	150692
270	23598	150560
271	23686	150477
272	23771	150381
273	23852	150251
274	23929	150103
275	24011	149985
276	24102	149920
277	24199	149900
278	24296	149871
279	24378	149755
280	24458	149626
281	24553	149585
282	24634	149460
283	24707	149287
284	24786	149156
285	24881	149112
286	24969	149033
287	25056	148947
288	25143	148861
289	25226	148746
290	25317	148687
291	25407	148615
292	25492	148519
293	25648	148833
294	25762	148896
295	25845	148784
296	25944	148768
297	26030	148673
298	26117	148582
299	26209	148522
300	26284	148361
301	26363	148228
302	26445	148114
303	26536	148048
304	26623	147955
305	26715	147897
306	26796	147775
307	26886	147700
308	26978	147639
309	27075	147603
310	27162	147513
311	27240	147380
312	27322	147261
313	27408	147165
314	27485	147027
315	27562	146884
316	27637	146731
317	27721	146628
318	27800	146498
319	27877	146358
320	27971	146303
321	28061	146235
322	28154	146175
323	28244	146106
324	28323	145975
325	28430	145987
326	28535	145992
327	28633	145958
328	28726	145904
329	28828	145891
330	28923	145841
331	29011	145758
332	29126	145809
333	29215	145726
334	29294	145597
335	29370	145454
336	29461	145382
337	29541	145262
338	29629	145175
339	29704	145025
340	29788	144925
341	29866	144791
342	29959	144732
343	30036	144595
344	30120	144491
345	30200	144369
346	30280	144248
347	30370	144172
348	30456	144079
349	30537	143962
350	30631	143905
351	30713	143796
352	30793	143673
353	30879	143582
354	30962	143475
355	31045	143366
356	31135	143295
357	31214	143166
358	31300	143074
359	31383	142970
360	31471	142883
361	31553	142776
362	31647	142717
363	31738	142648
364	31819	142532
365	31901	142422
366	31977	142285
367	32060	142180
368	32150	142105
369	32242	142042
370	32317	141899
371	32393	141765
372	32473	141645
373	32555	141536
374	32650	141485
375	32733	141379
376	32809	141245
377	32889	141129
378	32974	141032
379	33066	140965
380	33168	140944
381	33244	140812
382	33322	140685
383	33411	140607
384	33485	140466
385	33564	140345
386	33651	140256
387	33734	140155
388	33812	140031
389	33897	139937
390	33977	139821
391	34060	139715
392	34170	139726
393	34256	139636
394	34342	139544
395	34457	139568
396	34548	139498
397	34641	139437
398	34734	139373
399	34808	139234
400	34897	139153
401	34982	139059
402	35063	138947
403	35140	138824
404	35233	138758
405	35312	138639
406	35397	138546
407	35485	138463
408	35566	138353
409	35649	138249
410	35725	138122
411	35808	138019
412	35883	137887
413	35970	137798
414	36053	137697
415	36132	137580
416	36215	137481
417	36293	137360
418	36370	137235
419	36460	137159
420	36549	137083
421	36641	137014
422	36733	136949
423	36823	136870
424	36915	136803
425	37009	136744
426	37092	136642
427	37179	136556
428	37275	136504
429	37359	136407
430	37445	136316
431	37541	136261
432	37619	136141
433	37709	136068
434	37799	135990
435	37895	135936
436	37979	135839
437	38063	135742
438	38156	135676
439	38237	135570
440	38328	135498
441	38412	135400
442	38495	135298
443	38589	135238
444	38730	135339
445	38823	135271
446	38926	135239
447	39023	135187
448	39128	135163
449	39217	135081
450	39311	135017
451	39409	134968
452	39503	134903
453	39598	134842
454	39699	134804
455	39783	134705
456	39867	134606
457	39955	134524
458	40041	134432
459	40140	134383
460	40248	134365
461	40339	134289
462	40437	134238
463	40537	134194
464	40630	134125
465	40746	134131
466	40848	134092
467	40945	134034
468	41034	133953
469	41128	133885
470	41221	133816
471	41307	133724
472	41401	133658
473	41484	133557
474	41572	133469
475	41658	133378
476	41744	133283
477	41842	133229
478	41928	133137
479	42013	133042
480	42097	132944
481	42194	132887
482	42282	132799
483	42368	132707
484	42464	132647
485	42546	132540
486	42624	132426
487	42714	132344
488	42790	132222
489	42874	132123
490	42971	132065
491	43060	131982
492	43148	131896
493	43257	131874
494	43363	131842
495	43461	131786
496	43559	131729
497	43653	131663
498	43737	131561
499	43827	131482
500	43912	131387
501	43990	131269
502	44081	131191
503	44185	131152
504	44265	131043
505	44353	130956
506	44433	130847
507	44516	130744
508	44599	130642
509	44669	130506
510	44748	130392
511	44833	130298
512	44914	130189
513	44991	130071
514	45075	129975
515	45155	129866
516	45237	129763
517	45321	129665
518	45400	129552
519	45485	129459
520	45570	129363
521	45647	129247
522	45721	129120
523	45803	129018
524	45876	128889
525	45960	128794
526	46051	128716
527	46132	128612
528	46246	128599
529	46334	128513
530	46413	128402
531	46494	128298
532	46580	128206
533	46667	128116
534	46749	128014
535	46830	127911
536	46911	127804
537	46991	127697
538	47075	127601
539	47149	127478
540	47230	127375
541	47317	127286
542	47397	127177
543	47477	127070
544	47569	126997
545	47647	126885
546	47729	126784
547	47810	126680
548	47893	126581
549	47969	126465
550	48065	126401
551	48168	126354
552	48294	126369
553	48413	126363
554	48526	126343
555	48634	126309
556	48727	126236
557	48850	126240
558	48958	126205
559	49039	126102
560	49131	126024
561	49212	125921
562	49298	125828
563	49375	125716
564	49460	125622
565	49548	125534
566	49638	125453
567	49719	125348
568	49802	125249
569	49878	125133
570	49953	125015
571	50024	124885
572	50107	124787
573	50189	124686
574	50273	124591
575	50356	124492
576	50441	124398
577	50515	124279
578	50606	124199
579	50691	124105
580	50768	123993
581	50848	123888
582	50925	123775
583	50998	123654
584	51078	123548
585	51163	123455
586	51249	123365
587	51328	123259
588	51406	123149
589	51487	123047
590	51576	122964
591	51652	122849
592	51733	122746
593	51818	122654
594	51899	122553
595	51981	122451
596	52065	122358
597	52143	122248
598	52217	122131
599	52297	122027
600	52385	121942
601	52471	121852
602	52559	121766
603	52651	121692
604	52780	121700
605	52896	121679
606	53066	121782
607	53168	121727
608	53285	121708
609	53391	121662
610	53492	121605
611	53591	121545
612	53724	121560
613	53819	121487
614	53933	121460
615	54092	121533
616	54200	121490
617	54298	121424
618	54381	121325
619	54477	121256
620	54561	121160
621	54661	121097
622	54763	121042
623	54847	120945
624	54938	120865
625	55030	120785
626	55109	120677
627	55191	120577
628	55270	120471
629	55355	120376
630	55446	120295
631	55539	120218
632	55602	120076
633	55669	119944
634	55753	119847
635	55825	119725
636	55891	119591
637	55975	119495
638	56052	119385
639	56117	119249
640	56186	119121
641	56258	119002
642	56321	118860
643	56392	118739
644	56464	118620
645	56527	118481
646	56588	118338
647	56655	118206
648	56733	118100
649	56798	117965
650	56863	117832
651	56928	117699
652	57047	117676
653	57110	117538
654	57175	117406
655	57242	117277
656	57312	117155
657	57376	117020
658	57440	116885
659	57504	116750
660	57584	116649
661	57641	116502
662	57704	116365
663	57768	116232
664	57843	116121
665	57912	115999
666	57980	115873
667	58043	115739
668	58121	115633
669	58185	115502
670	58248	115368
671	58312	115236
672	58385	115122
673	58466	115024
674	58529	114892
675	58603	114779
676	58676	114666
677	58737	114530
678	58797	114390
679	58868	114274
680	58932	114143
681	58999	114019
682	59068	113899
683	59152	113807
684	59216	113678
685	59291	113570
686	59356	113442
687	59422	113317
688	59489	113193
689	59559	113077
690	59623	112947
691	59690	112826
692	59754	112697
693	59826	112584
694	59891	112457
695	59957	112334
696	60018	112200
697	60093	112093
698	60155	111963
699	60229	111854
700	60292	111726
701	60365	111615
702	60427	111485
703	60490	111357
704	60555	111232
705	60623	111114
706	60685	110985
707	60755	110870
708	60820	110746
709	60896	110642
710	60963	110523
711	61027	110398
712	61090	110271
713	61171	110176
714	61241	110064
715	61310	109948
716	61374	109824
717	61443	109708
718	61503	109576
719	61561	109442
720	61631	109329
721	61692	109200
722	61761	109087
723	61828	108968
724	61900	108858
725	61965	108738
726	62035	108626
727	62094	108494
728	62164	108383
729	62230	108263
730	62303	108157
731	62365	108032
732	62441	107931
733	62505	107808
734	62568	107686
735	62641	107579
736	62712	107469
737	62782	107359
738	62859	107260
739	62922	107138
740	63002	107044
741	63070	106930
742	63132	106806
743	63199	106691
744	63265	106574
745	63344	106480
746	63414	106370
747	63476	106247
748	63542	106130
749	63605	106008
750	63677	105902
751	63749	105796
752	63814	105678
753	63878	105560
754	63967	105483
755	64059	105410
756	64131	105304
757	64200	105194
758	64263	105073
759	64335	104968
760	64409	104866
761	64485	104768
762	64550	104650
763	64615	104534
764	64686	104428
765	64752	104313
766	64819	104201
767	64882	104081
768	64963	103991
769	65025	103871
770	65096	103765
771	65169	103663
772	65236	103550
773	65305	103441
774	65371	103329
775	65436	103214
776	65511	103115
777	65580	103006
778	65644	102890
779	65706	102771
780	65773	102659
781	65833	102538
782	65894	102417
783	65971	102322
784	66046	102224
785	66113	102114
786	66176	101997
787	66246	101891
788	66318	101789
789	66382	101674
790	66450	101566
791	66523	101464
792	66585	101348
793	66643	101224
794	66716	101123
795	66782	101012
796	66846	100898
797	66911	100786
798	66982	100683
799	67049	100574
800	67116	100465
801	67183	100355
802	67260	100262
803	67323	100148
804	67391	100041
805	67455	99927
806	67533	99835
807	67601	99729
808	67668	99621
809	67752	99538
810	67832	99448
811	67901	99343
812	67978	99249
813	68044	99140
814	68113	99035
815	68182	98931
816	68249	98823
817	68315	98714
818	68381	98606
819	68445	98494
820	68517	98394
821	68582	98284
822	68652	98182
823	68720	98077
824	68807	97997
825	68874	97892
826	68942	97786
827	69016	97689
828	69087	97588
829	69157	97486
830	69219	97374
831	69283	97263
832	69356	97166
833	69420	97055
834	69479	96938
835	69546	96832
836	69617	96732
837	69682	96624
838	69749	96519
839	69818	96416
840	69889	96316
841	69956	96210
842	70014	96093
843	70078	95984
844	70151	95887
845	70219	95783
846	70283	95674
847	70352	95573
848	70423	95473
849	70492	95372
850	70556	95263
851	70627	95164
852	70688	95052
853	70756	94949
854	70828	94852
855	70894	94746
856	70961	94642
857	71025	94535
858	71095	94434
859	71158	94326
860	71228	94226
861	71291	94117
862	71361	94018
863	71429	93917
864	71495	93812
865	71558	93703
866	71634	93612
867	71703	93511
868	71771	93410
869	71834	93302
870	71913	93215
871	71974	93104
872	72038	92998
873	72119	92914
874	72220	92855
875	72307	92778
876	72393	92700
877	72475	92616
878	72550	92525
879	72635	92445
880	72730	92378
881	72813	92296
882	72889	92205
883	72971	92122
884	73050	92034
885	73116	91931
886	73180	91825
887	73252	91730
888	73318	91627
889	73391	91533
890	73452	91423
891	73525	91330
892	73590	91225
893	73659	91127
894	73729	91029
895	73803	90935
896	73883	90851
897	73990	90799
898	74064	90705
899	74127	90599
900	74187	90490
901	74257	90392
902	74319	90285
903	74381	90179
904	74449	90079
905	74519	89983
906	74587	89883
907	74653	89781
908	74724	89685
909	74795	89590
910	74860	89486
911	74924	89383
912	75005	89299
913	75088	89219
914	75151	89114
915	75217	89012
916	75287	88916
917	75351	88813
918	75421	88716
919	75487	88616
920	75560	88522
921	75630	88426
922	75690	88319
923	75755	88216
924	75831	88128
925	75902	88033
926	75978	87944
927	76043	87842
928	76109	87742
929	76176	87643
930	76237	87537
931	76304	87438
932	76381	87352
933	76442	87246
934	76512	87151
935	76576	87048
936	76651	86958
937	76719	86861
938	76780	86756
939	76844	86654
940	76914	86559
941	76986	86466
942	77054	86370
943	77119	86268
944	77186	86170
945	77250	86070
946	77319	85974
947	77385	85875
948	77460	85786
949	77527	85688
950	77599	85596
951	77662	85493
952	77730	85397
953	77790	85292
954	77860	85198
955	77926	85099
956	77999	85008
957	78065	84910
958	78136	84818
959	78194	84710
960	78283	84636
961	78347	84537
962	78416	84442
963	78486	84348
964	78571	84270
965	78667	84205
966	78742	84117
967	78812	84022
968	78878	83925
969	78941	83823
970	79000	83719
971	79071	83626
972	79137	83529
973	79221	83450
974	79311	83378
975	79394	83298
976	79472	83214
977	79557	83136
978	79641	83057
979	79733	82987
980	79821	82913
981	79901	82830
982	79966	82732
983	80026	82629
984	80102	82542
985	80170	82447
986	80238	82352
987	80317	82268
988	80378	82166
989	80448	82073
990	80512	81974
991	80579	81879
992	80642	81779
993	80708	81682
994	80777	81589
995	80851	81500
996	80917	81404
